value_x,value_y,result
0.478785499,0.996405207,0.477064365
0.302465726,0.218140668,0.065980075
0.29229233,0.080406062,0.023502075
0.325980273,0.555565588,0.181103422
0.012215471,0.497587524,0.006078266
0.054977862,0.214415647,0.011788114
0.738548065,0.732658782,0.541103726
0.906870764,0.480519978,0.43576952
0.110542014,0.615388354,0.068026268
0.793106899,0.292195665,0.231742398
0.668638362,0.756625071,0.505908548
0.545556844,0.398182315,0.217231087
0.954222555,0.383927322,0.36635211
0.361661213,0.289831637,0.104820861
0.178801725,0.780355602,0.139528928
0.576808675,0.227974034,0.131497401
0.70808181,0.976391863,0.691365318
0.163603941,0.592824724,0.096988461
0.16011994,0.695439111,0.111353669
0.231025081,0.533674493,0.123292193
0.319525043,0.998059405,0.318904974
0.485062043,0.001475484,0.000715701
0.774741197,0.026813043,0.020773169
0.603150001,0.978913473,0.590431662
0.005529993,0.468821353,0.002592579
0.602283552,0.167859485,0.101099007
0.286619065,0.512276886,0.146828322
0.629000952,0.045236413,0.028453747
0.248252183,0.917438068,0.227756003
0.258890192,0.727081606,0.188234297
0.805366458,0.283369364,0.228216181
0.059426723,0.262741274,0.015613853
0.713538245,0.521951418,0.372432299
0.457718293,0.555270507,0.254157468
0.598665359,0.19133176,0.114543697
0.912054325,0.484815816,0.442178362
0.787615238,0.147098794,0.115857251
0.317828032,0.517921444,0.164609953
0.079842669,0.231222078,0.018461388
0.730057388,0.479760896,0.350252986
0.650835087,0.036717632,0.023897123
0.395445928,0.430858348,0.170381179
0.95028481,0.351122832,0.333666694
0.389141797,0.439522871,0.17103672
0.81812131,0.09719709,0.07951901
0.271189309,0.502163075,0.136181257
0.163979708,0.862584125,0.141446293
0.00832817,0.428482102,0.003568472
0.061837838,0.278744215,0.01723694
0.023674426,0.516213088,0.012221049
0.809174801,0.889720531,0.719939434
0.198002867,0.410626886,0.081305301
0.290639697,0.040061125,0.011643353
0.357843937,0.083439198,0.029858211
0.555560632,0.487964444,0.271093835
0.375773439,0.460656851,0.173102609
0.614652063,0.361739395,0.222343865
0.799948132,0.987084561,0.789616451
0.413536314,0.586069874,0.242361175
0.400397715,0.485308302,0.194316335
0.113670566,0.9866647,0.112154735
0.903397069,0.895747157,0.809215356
0.471334692,0.965578684,0.455110732
0.950221474,0.480015555,0.456121088
0.147315015,0.856102238,0.126116714
0.193477714,0.915078989,0.177047391
0.644833543,0.9252122,0.596607861
0.908192591,0.782801494,0.710934517
0.59982495,0.774350894,0.464474987
0.855527524,0.944946198,0.808427481
0.004971177,0.262323728,0.001304058
0.30284047,0.773618229,0.234282908
0.687299071,0.281065361,0.193175961
0.29383557,0.180818269,0.053130839
0.268307669,0.978894803,0.262644983
0.226527139,0.413282757,0.093619761
0.649683439,0.291909379,0.189648689
0.280587891,0.063340183,0.017772488
0.844018807,0.719303672,0.607105827
0.711616974,0.201494879,0.143387176
0.985762206,0.989411072,0.97532404
0.235211968,0.941906126,0.221547594
0.281917969,0.782977293,0.220735368
0.359836839,0.011335323,0.004078867
0.942898645,0.449128652,0.423482798
0.233714883,0.694178478,0.162239842
0.2229603,0.770865645,0.171872435
0.085360881,0.89052626,0.076016106
0.166706847,0.116716513,0.019457442
0.036710717,0.869912873,0.031935125
0.099769391,0.302500548,0.030180295
0.984391426,0.591270945,0.582042049
0.753301881,0.23176473,0.174588807
0.826028776,0.515089364,0.425478637
0.662519398,0.067699927,0.044852515
0.913862276,0.084639602,0.077348939
0.581859585,0.726670525,0.42282021
0.755025103,0.318374444,0.240380697
0.233440936,0.373501673,0.08719058
0.933562643,0.95800167,0.894354571
0.673870315,0.35780346,0.24111313
0.249741431,0.878337917,0.219357369
0.116295996,0.330880825,0.038480115
0.623236884,0.703266063,0.43830135
0.448100532,0.867295128,0.388635408
0.774301549,0.04979037,0.038552761
0.474295241,0.670476342,0.318003738
0.614353572,0.271056209,0.16652435
0.919429806,0.413037096,0.379758617
0.300064837,0.076749271,0.023029758
0.072436374,0.116292222,0.008423787
0.99793059,0.975383425,0.973364957
0.508132444,0.614733251,0.312365909
0.302074958,0.816483733,0.24663929
0.715177428,0.040180026,0.028735848
0.993775741,0.728375915,0.723842315
0.106797429,0.413354033,0.044145148
0.348766028,0.460934113,0.16075816
0.264975516,0.303296315,0.080366097
0.366064793,0.918415557,0.336199601
0.166846001,0.930637614,0.155273164
0.511521541,0.121783657,0.062294964
0.206391359,0.618962538,0.127748519
0.229343213,0.741711376,0.17010647
0.93266771,0.304440637,0.283941952
0.168613555,0.994565109,0.167697159
0.649183824,0.25203127,0.163614624
0.92696876,0.935114334,0.866821774
0.121804496,0.328845619,0.040054875
0.291432804,0.027403732,0.007986346
0.295475471,0.907026363,0.268004042
0.475549833,0.541081052,0.257311004
0.986056234,0.145397336,0.143369949
0.18361956,0.793511338,0.145704203
0.586400791,0.120038854,0.070390879
0.935845211,0.199310886,0.186524138
0.622357036,0.933942035,0.581245397
0.133906926,0.402892294,0.053950069
0.951741898,0.86343672,0.821768903
0.856629003,0.487635452,0.417722671
0.186225817,0.025584962,0.00476458
0.852022636,0.84274761,0.71804004
0.623405682,0.774151509,0.482610449
0.726680447,0.773406487,0.562019371
0.279786274,0.142928568,0.039989451
0.197671937,0.500004585,0.098836875
0.483104947,0.275080483,0.132892742
0.040223792,0.490482413,0.019729062
0.561994871,0.27067838,0.152119862
0.068993654,0.928438362,0.064056355
0.589810842,0.092004321,0.054265146
0.055542356,0.627375963,0.034845939
0.250346236,0.995079594,0.249114431
0.724439259,0.606349774,0.439263581
0.223595713,0.714433073,0.159744172
0.362410777,0.373639212,0.135410877
0.700892987,0.499026529,0.349764195
0.749535499,0.182194031,0.136560894
0.479148476,0.073052335,0.035002915
0.987062769,0.83316721,0.822388333
0.912576563,0.72630078,0.66280507
0.12210389,0.285209291,0.034825164
0.072963982,0.204636291,0.014931079
0.220226461,0.699601039,0.154070661
0.127727541,0.483144063,0.061710803
0.961543067,0.614740532,0.591099496
0.379614844,0.092586499,0.03514721
0.19938158,0.817344101,0.162963358
0.191060253,0.163023721,0.031147353
0.020458844,0.022032208,0.000450754
0.075662051,0.874256029,0.066148005
0.192878775,0.845628692,0.163103826
0.577859653,0.406081539,0.234658138
0.94630285,0.390902963,0.369912588
0.589109085,0.890547391,0.524629559
0.88379765,0.721921545,0.638032565
0.503542363,0.730827122,0.368002416
0.057445561,0.891406952,0.051207372
0.942092628,0.961051571,0.9053996
0.904285935,0.066119753,0.059791162
0.774546735,0.282446918,0.218768338
0.875442382,0.472769396,0.413882366
0.444530502,0.321316905,0.142835165
0.609156202,0.654778774,0.398862551
0.680430994,0.821626515,0.559060147
0.23360205,0.588442535,0.137461383
0.15432214,0.880369005,0.135860429
0.093106134,0.726090601,0.067603489
0.111231183,0.811509352,0.090265145
0.066389345,0.587933876,0.039032545
0.591471866,0.866117405,0.512284077
0.257844296,0.280849677,0.072415487
0.292085868,0.716578408,0.209302427
0.739068125,0.456765014,0.337580462
0.819925031,0.884469623,0.725198783
0.028585539,0.739266717,0.021132338
0.021728083,0.230398343,0.005006114
0.823519384,0.88897674,0.732089578
0.451118763,0.427138912,0.192690377
0.263351019,0.017163763,0.004520094
0.331662009,0.813601808,0.269840811
0.352661975,0.737463954,0.260075494
0.918935513,0.515717722,0.473911329
0.817174519,0.563450443,0.460437344
0.215243334,0.468511924,0.100844068
0.808247487,0.955965016,0.772656322
0.373771324,0.219400363,0.082005564
0.563769149,0.911011533,0.513600197
0.193148284,0.64190652,0.123983143
0.971050662,0.001938071,0.001881965
0.415386475,0.057867372,0.024037324
0.717683218,0.053234168,0.038205269
0.34693529,0.092876113,0.032222001
0.74076369,0.342771952,0.253913016
0.861923971,0.657463196,0.566683289
0.273248444,0.435050207,0.118876792
0.425428008,0.390929229,0.166312243
0.99634459,0.04435143,0.044189308
0.921557976,0.74950069,0.690708339
0.46980991,0.511703028,0.240403154
0.299575582,0.54524026,0.163340668
0.376322115,0.39671311,0.149291916
0.117288081,0.706434905,0.082856394
0.578325359,0.701879279,0.405914586
0.446846952,0.914411632,0.408602051
0.767379625,0.536493557,0.411694224
0.51612102,0.69063037,0.356448851
0.892936541,0.353897435,0.316007952
0.17676783,0.576443107,0.101896597
0.350987849,0.169509752,0.059495863
0.140048038,0.564282202,0.079026615
0.353487901,0.50178182,0.177373802
0.514836169,0.042411504,0.021834976
0.895712778,0.059277727,0.053095818
0.250105382,0.080176358,0.020052539
0.567450314,0.999260339,0.567030592
0.075255555,0.048461283,0.003646981
0.549064993,0.385924672,0.211897727
0.911419898,0.712114074,0.649034936
0.391682679,0.278185329,0.108960375
0.52905239,0.916240144,0.484739038
0.604543807,0.146536847,0.088587944
0.280239538,0.078201517,0.021915157
0.009545811,0.562644509,0.005370898
0.181538699,0.653102999,0.118563469
0.559144893,0.896175293,0.501091838
0.878727855,0.284411941,0.249920694
0.322942447,0.479228795,0.15476332
0.794886789,0.538310208,0.427895672
0.177610658,0.796750648,0.141511407
0.019776641,0.173940314,0.003439955
0.011678302,0.310842284,0.00363011
0.791944727,0.007313804,0.005792128
0.745074658,0.213189829,0.158842339
0.649282087,0.491930479,0.319401648
0.03449356,0.319922073,0.011035251
0.458384879,0.753599961,0.345438827
0.452889731,0.021510439,0.009741857
0.793992623,0.077698191,0.06169179
0.992379992,0.393509601,0.390511055
0.247542503,0.806613611,0.199671152
0.563939634,0.386939422,0.218210476
0.207684953,0.922840663,0.19166012
0.245787956,0.538645289,0.132392525
0.306881211,0.341104103,0.10467844
0.210094131,0.612406048,0.128662916
0.300588895,0.811230836,0.243846981
0.703105501,0.538683001,0.378750981
0.864132698,0.189279989,0.163563028
0.164782961,0.960106336,0.158209165
0.290147577,0.488899154,0.141852905
0.867770428,0.772883364,0.670685327
0.384542605,0.788621477,0.303258557
0.27595741,0.199248162,0.054984007
0.593934925,0.509890881,0.302842002
0.045675369,0.761665578,0.034789356
0.288999252,0.867239076,0.250631444
0.753884794,0.198966949,0.149998158
0.285548343,0.218758606,0.062466158
0.673200191,0.974721822,0.656182916
0.271090918,0.47785972,0.12954343
0.426916638,0.121363249,0.05181199
0.974588454,0.657390208,0.640684906
0.054851281,0.004197962,0.000230264
0.250370848,0.33803967,0.084635279
0.996283415,0.299685851,0.298572043
0.027422632,0.743492194,0.020388513
0.473779737,0.661053113,0.31319357
0.7200721,0.056236678,0.040494463
0.77726354,0.045561716,0.035413461
0.71120295,0.257304379,0.182995633
0.948811634,0.525648942,0.498741832
0.790290195,0.254873521,0.201424044
0.267387052,0.912904911,0.244098953
0.285923716,0.30390538,0.086893756
0.434166858,0.272471616,0.118298145
0.190781981,0.534664885,0.102004426
0.894725617,0.179202453,0.160337025
0.608258221,0.800805544,0.487096555
0.908883337,0,0
0.326368972,0.214103243,0.069876655
0.684223058,0.576996236,0.394794129
0.479909926,0.78711015,0.377741973
0.699956828,0.574170297,0.40189442
0.539552115,0.714220851,0.38535937
0.779441389,0.613105441,0.477879756
0.875721787,0.098275841,0.086062295
0.902326189,0.165974947,0.149763542
0.625968449,0.029609682,0.018534727
0.021103452,0.439769347,0.009280651
0.065987163,0.661765964,0.043668058
0.684437281,0.787199849,0.538788924
0.814436054,0.102081364,0.083138743
0.436868863,0.398174445,0.173950017
0.2505734,0.920504683,0.230653988
0.442613827,0.688471914,0.304727189
0.996928236,0.977772142,0.974768656
0.947129713,0.626499511,0.593376302
0.282741057,0.567654093,0.160499118
0.187547257,0.896848797,0.168201532
0.681155956,0.358636791,0.244287586
0.244802515,0.257895332,0.063133426
0.848222125,0.45675819,0.387432403
0.405689748,0.538482307,0.218456751
0.52698764,0.842398852,0.443933784
0.218484064,0.658972765,0.143975048
0.866726829,0.316154107,0.274019246
